Sepal.Width,Species,Petal.Length,Sepal.Length
x,series,z,y
3.5,setosa,1.4,5.1
3,setosa,1.4,4.9
3.2,setosa,1.3,4.7
3.1,setosa,1.5,4.6
3.6,setosa,1.4,5
3.9,setosa,1.7,5.4
3.4,setosa,1.4,4.6
3.4,setosa,1.5,5
2.9,setosa,1.4,4.4
3.1,setosa,1.5,4.9
3.7,setosa,1.5,5.4
3.4,setosa,1.6,4.8
3,setosa,1.4,4.8
3,setosa,1.1,4.3
4,setosa,1.2,5.8
4.4,setosa,1.5,5.7
3.9,setosa,1.3,5.4
3.5,setosa,1.4,5.1
3.8,setosa,1.7,5.7
3.8,setosa,1.5,5.1
3.4,setosa,1.7,5.4
3.7,setosa,1.5,5.1
3.6,setosa,1,4.6
3.3,setosa,1.7,5.1
3.4,setosa,1.9,4.8
3,setosa,1.6,5
3.4,setosa,1.6,5
3.5,setosa,1.5,5.2
3.4,setosa,1.4,5.2
3.2,setosa,1.6,4.7
3.1,setosa,1.6,4.8
3.4,setosa,1.5,5.4
4.1,setosa,1.5,5.2
4.2,setosa,1.4,5.5
3.1,setosa,1.5,4.9
3.2,setosa,1.2,5
3.5,setosa,1.3,5.5
3.6,setosa,1.4,4.9
3,setosa,1.3,4.4
3.4,setosa,1.5,5.1
3.5,setosa,1.3,5
2.3,setosa,1.3,4.5
3.2,setosa,1.3,4.4
3.5,setosa,1.6,5
3.8,setosa,1.9,5.1
3,setosa,1.4,4.8
3.8,setosa,1.6,5.1
3.2,setosa,1.4,4.6
3.7,setosa,1.5,5.3
3.3,setosa,1.4,5
3.2,versicolor,4.7,7
3.2,versicolor,4.5,6.4
3.1,versicolor,4.9,6.9
2.3,versicolor,4,5.5
2.8,versicolor,4.6,6.5
2.8,versicolor,4.5,5.7
3.3,versicolor,4.7,6.3
2.4,versicolor,3.3,4.9
2.9,versicolor,4.6,6.6
2.7,versicolor,3.9,5.2
2,versicolor,3.5,5
3,versicolor,4.2,5.9
2.2,versicolor,4,6
2.9,versicolor,4.7,6.1
2.9,versicolor,3.6,5.6
3.1,versicolor,4.4,6.7
3,versicolor,4.5,5.6
2.7,versicolor,4.1,5.8
2.2,versicolor,4.5,6.2
2.5,versicolor,3.9,5.6
3.2,versicolor,4.8,5.9
2.8,versicolor,4,6.1
2.5,versicolor,4.9,6.3
2.8,versicolor,4.7,6.1
2.9,versicolor,4.3,6.4
3,versicolor,4.4,6.6
2.8,versicolor,4.8,6.8
3,versicolor,5,6.7
2.9,versicolor,4.5,6
2.6,versicolor,3.5,5.7
2.4,versicolor,3.8,5.5
2.4,versicolor,3.7,5.5
2.7,versicolor,3.9,5.8
2.7,versicolor,5.1,6
3,versicolor,4.5,5.4
3.4,versicolor,4.5,6
3.1,versicolor,4.7,6.7
2.3,versicolor,4.4,6.3
3,versicolor,4.1,5.6
2.5,versicolor,4,5.5
2.6,versicolor,4.4,5.5
3,versicolor,4.6,6.1
2.6,versicolor,4,5.8
2.3,versicolor,3.3,5
2.7,versicolor,4.2,5.6
3,versicolor,4.2,5.7
2.9,versicolor,4.2,5.7
2.9,versicolor,4.3,6.2
2.5,versicolor,3,5.1
2.8,versicolor,4.1,5.7
3.3,virginica,6,6.3
2.7,virginica,5.1,5.8
3,virginica,5.9,7.1
2.9,virginica,5.6,6.3
3,virginica,5.8,6.5
3,virginica,6.6,7.6
2.5,virginica,4.5,4.9
2.9,virginica,6.3,7.3
2.5,virginica,5.8,6.7
3.6,virginica,6.1,7.2
3.2,virginica,5.1,6.5
2.7,virginica,5.3,6.4
3,virginica,5.5,6.8
2.5,virginica,5,5.7
2.8,virginica,5.1,5.8
3.2,virginica,5.3,6.4
3,virginica,5.5,6.5
3.8,virginica,6.7,7.7
2.6,virginica,6.9,7.7
2.2,virginica,5,6
3.2,virginica,5.7,6.9
2.8,virginica,4.9,5.6
2.8,virginica,6.7,7.7
2.7,virginica,4.9,6.3
3.3,virginica,5.7,6.7
3.2,virginica,6,7.2
2.8,virginica,4.8,6.2
3,virginica,4.9,6.1
2.8,virginica,5.6,6.4
3,virginica,5.8,7.2
2.8,virginica,6.1,7.4
3.8,virginica,6.4,7.9
2.8,virginica,5.6,6.4
2.8,virginica,5.1,6.3
2.6,virginica,5.6,6.1
3,virginica,6.1,7.7
3.4,virginica,5.6,6.3
3.1,virginica,5.5,6.4
3,virginica,4.8,6
3.1,virginica,5.4,6.9
3.1,virginica,5.6,6.7
3.1,virginica,5.1,6.9
2.7,virginica,5.1,5.8
3.2,virginica,5.9,6.8
3.3,virginica,5.7,6.7
3,virginica,5.2,6.7
2.5,virginica,5,6.3
3,virginica,5.2,6.5
3.4,virginica,5.4,6.2
3,virginica,5.1,5.9
